areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate,7-day_average
overview,United Kingdom,K02000001,2021-04-23,20,152491,
overview,United Kingdom,K02000001,2021-04-22,24,152471,
overview,United Kingdom,K02000001,2021-04-21,25,152447,
overview,United Kingdom,K02000001,2021-04-20,28,152422,"25,7142857143"
overview,United Kingdom,K02000001,2021-04-19,19,152394,"27,1428571429"
overview,United Kingdom,K02000001,2021-04-18,26,152375,"29,4285714286"
overview,United Kingdom,K02000001,2021-04-17,38,152349,"30,4285714286"
overview,United Kingdom,K02000001,2021-04-16,30,152311,"32,8571428571"
overview,United Kingdom,K02000001,2021-04-15,40,152281,"35,1428571429"
overview,United Kingdom,K02000001,2021-04-14,32,152241,"36,8571428571"
overview,United Kingdom,K02000001,2021-04-13,45,152209,"37,4285714286"
overview,United Kingdom,K02000001,2021-04-12,35,152164,"38,1428571429"
overview,United Kingdom,K02000001,2021-04-11,38,152129,"40,7142857143"
overview,United Kingdom,K02000001,2021-04-10,42,152091,"42,2857142857"
overview,United Kingdom,K02000001,2021-04-09,35,152049,"42,1428571429"
overview,United Kingdom,K02000001,2021-04-08,58,152014,"43,1428571429"
overview,United Kingdom,K02000001,2021-04-07,43,151956,"44,4285714286"
overview,United Kingdom,K02000001,2021-04-06,44,151913,"43,8571428571"
overview,United Kingdom,K02000001,2021-04-05,42,151869,46
overview,United Kingdom,K02000001,2021-04-04,47,151827,"46,2857142857"
overview,United Kingdom,K02000001,2021-04-03,38,151780,"50,7142857143"
overview,United Kingdom,K02000001,2021-04-02,50,151742,"52,1428571429"
overview,United Kingdom,K02000001,2021-04-01,60,151692,"55,7142857143"
overview,United Kingdom,K02000001,2021-03-31,74,151632,"55,7142857143"
overview,United Kingdom,K02000001,2021-03-30,54,151558,"59,1428571429"
overview,United Kingdom,K02000001,2021-03-29,67,151504,"62,2857142857"
overview,United Kingdom,K02000001,2021-03-28,47,151437,"64,4285714286"
overview,United Kingdom,K02000001,2021-03-27,62,151390,"63,5714285714"
overview,United Kingdom,K02000001,2021-03-26,72,151328,"68,5714285714"
overview,United Kingdom,K02000001,2021-03-25,75,151256,"73,2857142857"
overview,United Kingdom,K02000001,2021-03-24,68,151181,"84,1428571429"
overview,United Kingdom,K02000001,2021-03-23,89,151113,"89,1428571429"
overview,United Kingdom,K02000001,2021-03-22,100,151024,"92,8571428571"
overview,United Kingdom,K02000001,2021-03-21,123,150924,"95,8571428571"
overview,United Kingdom,K02000001,2021-03-20,97,150801,"103,4285714286"
overview,United Kingdom,K02000001,2021-03-19,98,150704,"106,5714285714"
overview,United Kingdom,K02000001,2021-03-18,96,150606,"111,4285714286"
overview,United Kingdom,K02000001,2021-03-17,121,150510,"112,4285714286"
overview,United Kingdom,K02000001,2021-03-16,111,150389,"117,2857142857"
overview,United Kingdom,K02000001,2021-03-15,134,150278,122
overview,United Kingdom,K02000001,2021-03-14,130,150144,"131,7142857143"
overview,United Kingdom,K02000001,2021-03-13,131,150014,"136,2857142857"
overview,United Kingdom,K02000001,2021-03-12,131,149883,"146,7142857143"
overview,United Kingdom,K02000001,2021-03-11,164,149752,"154,7142857143"
overview,United Kingdom,K02000001,2021-03-10,153,149588,"163,8571428571"
overview,United Kingdom,K02000001,2021-03-09,184,149435,"174,2857142857"
overview,United Kingdom,K02000001,2021-03-08,190,149251,"186,2857142857"
overview,United Kingdom,K02000001,2021-03-07,194,149061,"195,5714285714"
overview,United Kingdom,K02000001,2021-03-06,204,148867,"203,5714285714"
overview,United Kingdom,K02000001,2021-03-05,215,148663,"211,4285714286"
overview,United Kingdom,K02000001,2021-03-04,229,148448,"225,4285714286"
overview,United Kingdom,K02000001,2021-03-03,209,148219,"236,4285714286"
overview,United Kingdom,K02000001,2021-03-02,239,148010,250
overview,United Kingdom,K02000001,2021-03-01,288,147771,"261,4285714286"
overview,United Kingdom,K02000001,2021-02-28,271,147483,"277,2857142857"
overview,United Kingdom,K02000001,2021-02-27,299,147212,"298,1428571429"
overview,United Kingdom,K02000001,2021-02-26,295,146913,317
overview,United Kingdom,K02000001,2021-02-25,340,146618,"328,2857142857"
overview,United Kingdom,K02000001,2021-02-24,355,146278,"347,2857142857"
overview,United Kingdom,K02000001,2021-02-23,371,145923,368
overview,United Kingdom,K02000001,2021-02-22,367,145552,"391,4285714286"
overview,United Kingdom,K02000001,2021-02-21,404,145185,"415,8571428571"
overview,United Kingdom,K02000001,2021-02-20,444,144781,"436,2857142857"
overview,United Kingdom,K02000001,2021-02-19,459,144337,"462,5714285714"
overview,United Kingdom,K02000001,2021-02-18,511,143878,"496,1428571429"
overview,United Kingdom,K02000001,2021-02-17,498,143367,"522,5714285714"
overview,United Kingdom,K02000001,2021-02-16,555,142869,"541,4285714286"
overview,United Kingdom,K02000001,2021-02-15,602,142314,"564,8571428571"
overview,United Kingdom,K02000001,2021-02-14,589,141712,"585,5714285714"
overview,United Kingdom,K02000001,2021-02-13,576,141123,"614,2857142857"
overview,United Kingdom,K02000001,2021-02-12,623,140547,"636,7142857143"
overview,United Kingdom,K02000001,2021-02-11,656,139924,661
overview,United Kingdom,K02000001,2021-02-10,699,139268,683
overview,United Kingdom,K02000001,2021-02-09,712,138569,"711,2857142857"
overview,United Kingdom,K02000001,2021-02-08,772,137857,"745,7142857143"
overview,United Kingdom,K02000001,2021-02-07,743,137085,"768,5714285714"
overview,United Kingdom,K02000001,2021-02-06,774,136342,806
overview,United Kingdom,K02000001,2021-02-05,864,135568,"839,8571428571"
overview,United Kingdom,K02000001,2021-02-04,816,134704,"871,5714285714"
overview,United Kingdom,K02000001,2021-02-03,961,133888,"906,1428571429"
overview,United Kingdom,K02000001,2021-02-02,949,132927,"940,2857142857"
overview,United Kingdom,K02000001,2021-02-01,994,131978,"980,1428571429"
overview,United Kingdom,K02000001,2021-01-31,985,130984,1037
overview,United Kingdom,K02000001,2021-01-30,1013,129999,"1072,8571428572"
overview,United Kingdom,K02000001,2021-01-29,1143,128986,"1101,8571428572"
overview,United Kingdom,K02000001,2021-01-28,1214,127843,"1137,7142857143"
