"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0"
1,75836.5726693681,"Successful completion",0.000325309085718077,0.8220764168094,0.990089710130613,3.61954150482989,0.0673857010594663,0.0421055115877913,3.11158964200681e-05,0.00232765003706789,2.49376957489846
2,94218.0853953078,"Successful completion",0.00224048654247757,0.312197581271072,0.314434261918927,0.030662328852464,0.00405010476872772,0.199883965658628,4.21080587531174e-05,0.00211837144492455,2.49862439065072
3,114604.76268293,"Successful completion",0.00156568543953959,0.982951609663138,0.293239331092696,0.046247512062307,0.0273754348969586,0.199524530843198,3.59256354317834e-05,0.0021922648479896,2.48773402433684
4,91846.9716128287,"Successful completion",0.00256063571399825,0.997884685686893,0.2965593040439,0.012609936882201,0.00505060741483181,0.199525058955717,4.13014695839911e-05,0.00212488370907283,2.49773315787229
5,198645.128463468,"Successful completion",0.00997399589970964,0.959734256381652,0.529304479396629,0.779246540841064,0.00359078220521187,0.162739546357196,4.68476766565837e-05,0.00205481125456905,2.4986913141428
6,90391.1567028772,"Successful completion",0.00246754956523324,0.998358403677041,0.508441533004804,1.35056993326903,0.00637947950347361,0.193141800187121,4.08605574124895e-05,0.00213180346606589,2.4972281821523
7,72529.8310922847,"Successful completion",1.45739699239972e-07,0.258911240529267,0.714721047511118,2.12465242362886,0.999893512021383,0.0136134189668377,2.68344039690954e-05,0.00237845645383158,2.47911354752979
8,82522.9156335309,"Successful completion",0.00177057019311902,0.760550011796391,0.906899305822111,2.88049594736496,0.0141211940851861,0.127326007640705,3.88822733902368e-05,0.00215955410968419,2.49609602992658
9,81546.1106080197,"Successful completion",0.00173384335094303,0.763815492116033,0.7571514317172,2.41774137647476,0.0163203144676307,0.119886158158294,3.81395028676944e-05,0.00218740060757293,2.49574894723537
10,70441.5423059039,"Successful completion",6.96378511791506e-05,0.999998566670027,0.653120493098643,1.9769514212032,0.919050880870679,0.0134322161212775,2.68322629391496e-05,0.00238242183875491,2.47222400179239
11,91064.7259834359,"Successful completion",0.00233854717216839,0.636868787820781,0.388902675064507,0.687392064972271,0.00527748233154041,0.199999999865516,4.13810744800756e-05,0.00212274973049623,2.49777558926237
12,89263.4921337471,"Successful completion",0.00223555530095484,0.912242918597399,0.996530973725423,3.06760463875707,0.00598745396248958,0.1675161932435,4.12275655887126e-05,0.00211952217106347,2.49776738198893
13,108970.550049106,"Successful completion",0.00415348862108957,0.818032807740163,0.979118231561522,2.68605633662797,0.00457465974458986,0.18537066708388,4.2791077962913e-05,0.00210387639676305,2.49813914135061
14,91103.045518817,"Successful completion",0.00254125694773063,0.999763855243804,0.407034224863375,0.791935745509896,0.00548103689306047,0.199287420022356,4.11617826322233e-05,0.0021238919956897,2.49754238567226
15,196323.304823823,"Successful completion",0.000263047178899852,0.733540674456274,0.261741229395485,0.00882816175764109,0.251814082731883,0.196349147522872,2.77541968119446e-05,0.00237242479534305,2.39324226637761
16,89597.2614343092,"Successful completion",0.00222630058236681,0.568489430714335,0.403843360886615,0.782623817536614,0.00660079734975998,0.180657326511768,4.09679130253605e-05,0.00212589448919914,2.49754320233811
17,53871.2870921518,"Successful completion",0.000589733850613953,0.804702868975077,0.839434334759659,2.71608980848974,0.057734383610912,0.0195324455858939,3.28097081113899e-05,0.00226479874345527,2.49753111048561
18,68962.1856288928,"Successful completion",7.34539306375453e-05,0.0695621688495894,0.999996574917407,2.96116936300629,0.0888378424451333,0.068824266950383,3.14424492964702e-05,0.00229507571851634,2.50668836853206
19,58717.4303171729,"Successful completion",0.00082062131595402,0.944610309416773,0.445244145949681,1.1080531612383,0.0461033299450748,0.0215029932024947,3.37895807364656e-05,0.00224896274473515,2.49778397366072
20,91859.3304588231,"Successful completion",0.00254954421339394,0.999999999999867,0.294711760039364,6.92477027423432e-13,0.00546728116905199,0.199999740382178,4.13142323529349e-05,0.00212438228455443,2.49753972666758
21,83638.866285683,"Successful completion",0.00146312627111072,0.822615041067531,0.874741516105637,2.8712093620592,0.019189993226323,0.129405148649913,3.73229491624922e-05,0.00217935202001537,2.49454648217388
22,54491.8211051792,"Successful completion",0.000686489641608372,0.999699476834135,0.769030843051019,2.52534347786433,0.0575941110141055,0.0227719233124121,3.3097257317894e-05,0.00226519859799026,2.49704915903747
23,74253.573988658,"Successful completion",0.000660662204591027,0.740287413246046,0.741384663989678,2.51807637081575,0.0659065461354385,0.0705445921171413,3.16592077318939e-05,0.00229717867577132,2.48994674062664
24,60521.1178194437,"Successful completion",0.000130680437842862,0.891909788243942,0.996187352865095,3.10289158786998,0.335108662197707,0.0121287686093398,2.79419302484621e-05,0.00235542946306181,2.49097811775471
25,82102.5065524939,"Successful completion",0.00163420074809652,0.660507517555182,0.946983725744669,2.98813540488119,0.0180347806530962,0.124723998003435,3.78578804044135e-05,0.00217540259765428,2.4952279545233
26,214060.486600841,"Successful completion",0.00999245393647401,0.623261033144304,0.976737221557319,2.27062146647598,0.00472049147254536,0.153865024525845,4.63646979656172e-05,0.00207891659415496,2.49847554167744
27,235581.155382765,"Successful completion",0.0079327029729735,0.999455087204406,0.569649763384023,0.887157907483729,0.0205858301837069,0.0176326019739502,4.22010139243119e-05,0.00214414523490964,2.49918334053796
28,56773.1751431886,"Successful completion",0.000235095263354228,0.952652284108356,0.989048618370786,3.1120236674176,0.19315414379511,0.0145225056929625,2.89419874438458e-05,0.00233783870010869,2.49372341896234
29,88705.4780560816,"Successful completion",0.00224897676519353,0.976294886868835,0.385523397765424,0.697305296035357,0.00904793225076823,0.1645038847924,4.02067567424695e-05,0.00213570994961001,2.49666008995571
30,116550.311978796,"Successful completion",0.00019699889765515,0.2185436959516,0.325970946056806,0.320277519168087,0.303627788762333,0.0898424406118261,2.85197822412758e-05,0.00233410648691145,2.46300838889194
31,61949.4032615533,"Successful completion",0.000811097769990726,0.999999690052941,0.290356577759571,0.002537520179161,0.0564105433952643,0.021407181840954,3.31571153876684e-05,0.00225454254022187,2.4972829208831
32,60866.2180102835,"Successful completion",0.000991594270999346,0.992041930983436,0.738344541122072,2.28523716696139,0.0530168883475735,0.0301506189493451,3.19498242600615e-05,0.00232599772437754,2.4964065987424
33,52502.4251957026,"Successful completion",0.000487862084814123,0.969272537241918,0.997060882574181,3.18214563898012,0.0768534495655387,0.0179555725237971,3.14985532041267e-05,0.00229466823624268,2.49690605433101
34,65279.1646890449,"Successful completion",0.0011326885982575,0.477248698460693,0.891126941189575,2.77014241289447,0.0337022847213333,0.046797322525652,3.47432943779549e-05,0.00226821446611525,2.49688324004501
35,60662.9332144932,"Successful completion",0.000631347670974584,0.501922155569637,0.345651143885317,0.441909151383885,0.0469940856829331,0.0246734972368403,3.37190387166851e-05,0.00225050897009256,2.49767876289311
36,89615.7869410205,"Successful completion",0.00197759527087039,0.51107452307216,0.973151921716079,3.00862548226272,0.00638722901256747,0.177514925550174,4.13658931363008e-05,0.00211834357459172,2.49772005851542
37,56113.3238521251,"Successful completion",0.000902868022601724,0.971877415594331,0.81726547917692,2.58588101382667,0.0479213718259713,0.0245310630303146,3.37221197301953e-05,0.00224070202379036,2.49736348918585
38,54338.0063442619,"Successful completion",0.000515153186107216,0.509221581740391,0.992985857493551,3.0834078552351,0.0760941762458726,0.0263368552520208,3.19574743614586e-05,0.00227614007084853,2.49597369126181
