"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0"
1,55605.8829826959,"Successful completion",0.000826463585671656,0.784902406782202,0.988533866058614,3.74983105804291,0.0770754780236985,0.0231440018607872,3.21438032488866e-05,0.00227869978379912,2.49610858344011
2,94072.0041438935,"Successful completion",0.00403642062116293,0.875133353358069,0.648431841859817,2.26572980615887,0.00762631432353964,0.142856738771697,4.1688332456757e-05,0.00212006233104421,2.49758755383978
3,56895.3993386198,"Successful completion",0.000543668853808408,0.518916811108169,0.939526888166993,3.67318553679082,0.0608784927059864,0.0167062323731562,3.33324034563975e-05,0.00225303528069695,2.49794736152051
4,97593.1012990334,"Successful completion",0.00344095582881995,0.45025413979591,0.363783170645703,0.937777134542618,0.00573139103033954,0.199680857204038,4.20134863347418e-05,0.0021130640828686,2.49777432348482
5,95636.7673271389,"Successful completion",0.00346216493893504,0.920244992758665,0.959235503046499,3.41332395252631,0.00737599757642303,0.190452839553542,4.15322905433756e-05,0.00211378318979739,2.49686968277483
6,141713.053672298,"Successful completion",0.00908543445580091,0.843438988007288,0.764303793077221,2.07410754958554,0.00415379987406367,0.174613122859937,4.49803706761597e-05,0.00208856440237854,2.4984017153902
7,66787.1255377987,"Successful completion",3.67592306358115e-05,0.0647422099151797,0.999532893570249,3.66012023556497,0.0532242670703867,0.0705027504112338,3.37996466104748e-05,0.00225315893313044,2.50510885205477
8,67118.0252303579,"Successful completion",0.000169071091479282,0.998782313863568,0.835452797365844,3.2221909440991,0.477825220754091,0.011336025906622,2.73415713660185e-05,0.00237641005525453,2.48781421301898
9,62694.6535132017,"Successful completion",0.00100461464167683,0.899997244357819,0.29685001309427,0.628942510887095,0.0722304973718738,0.0209923875546779,3.24122934544684e-05,0.00227538422054172,2.49663046663607
10,81488.9660740534,"Successful completion",7.61493001418005e-05,0.98348720477796,0.553095519875678,2.32888747132177,0.406432330207698,0.00566646664016342,2.65275323735093e-05,0.00242963042749192,2.49482783772543
11,67040.7193818836,"Successful completion",0.000127375181080045,0.988964719591611,0.999965903036473,3.67970964083358,0.690921057882212,0.0129111955785573,2.71562474285844e-05,0.00237436117588883,2.47995349694785
12,90379.525000421,"Successful completion",0.00283795791798548,0.966083321046925,0.984321652898989,3.59491666937419,0.0120396441048952,0.143901275904637,4.01698683313276e-05,0.00214337018803695,2.49611703573857
13,55209.9662663799,"Successful completion",0.000739023794914927,0.781952181208812,0.963588785430962,3.70566502833573,0.0777072638809582,0.01839111094293,3.21144120907929e-05,0.00228026688519841,2.49688410138796
14,96180.872849122,"Successful completion",0.00343484133527992,0.861021067808112,0.857963579395133,3.14659546392537,0.00708637839828458,0.196364182966314,4.17483586131706e-05,0.00211368026937113,2.49692525202372
15,108713.119484514,"Successful completion",1.69813461087796e-05,0.0119474539045255,0.14384337567758,0.15111609446581,0.834110320803559,0.198128020685878,2.70155330764537e-05,0.00237799614536623,5.54492050851952
16,149085.509643622,"Successful completion",0.00968942840120386,0.938846711221421,0.660514967959813,1.68444057723892,0.00402447689478629,0.1439663476155,4.56491899264008e-05,0.00208457887397206,2.49870580907311
17,66516.372513508,"Successful completion",0.00137227505773476,0.904315206527923,0.398100677602087,1.35499770938792,0.0427221958676497,0.0213490415504377,3.66643460102963e-05,0.00215640791986045,2.49797195118714
18,96106.3091611497,"Successful completion",0.00351215644448934,0.822807126392307,0.762480312490396,2.82752697693236,0.00664237953038914,0.194155341438225,4.18348402639157e-05,0.00211034704512084,2.49716771195316
19,78794.3870840956,"Successful completion",0.000692523374583286,0.0742497560227434,0.395734740802585,1.35427180421928,0.0444235495736482,0.105459900059923,3.46633642365882e-05,0.00223304426450951,2.50406187859241
20,101370.262072611,"Successful completion",1.85801343947988e-05,0.0125445760513679,0.958926618163923,5.43005939835447,0.93093256360002,0.198462873977739,2.67725778575882e-05,0.00239159050915594,5.72009190772287
21,108076.306864298,"Successful completion",0.00555652994071014,0.613106378647393,0.919600753196816,2.86015438094131,0.00666647750066348,0.126642400441826,4.34988144894093e-05,0.00209128870875045,2.49823360779611
