"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0","group"
1,78237.1928581533,"Successful completion",0.00253191584360975,0.785677190924259,0.975411624428122,3.47612930945771,0.0214155279957123,0.0805543769810328,3.84488582637149e-05,0.00217130943268042,2.4962361397002,"seed123_n300"
2,146510.360380223,"Successful completion",0.00983087593489306,0.979126256971228,0.370113856259369,0.258875375643532,0.0035669250483388,0.199653913588422,4.57839023210859e-05,0.00207006203098011,2.49840145681188,"seed123_n300"
3,65748.927920654,"Successful completion",0.000198805859433664,0.968447010877165,0.869371652891941,3.3734759917602,0.403570144791307,0.0146550999739302,2.76452427722198e-05,0.00236969894231434,2.48674086213208,"seed123_n300"
4,342945.456819344,"Successful completion",0.000253265844128533,0.997402795373662,0.465469511593176,4079.75580391215,0.0353066386938956,0.198854646675505,3.52425534465716e-05,0.00220609510206638,2.48420756992584,"seed123_n300"
5,152659.104427563,"Successful completion",0.00999589235819919,0.955990119242662,0.999998461475831,2.68997798772386,0.00340828104211321,0.196626594595829,4.56420562801483e-05,0.00208058409890713,2.49849985577918,"seed123_n300"
6,65486.091144314,"Successful completion",0.000210933961947933,0.922881089265578,0.930504019708313,3.52203690298166,0.217204897887389,0.0073648230956076,2.92820766540506e-05,0.00232408768165047,2.49643414830098,"seed123_n300"
7,69330.8948028655,"Degeneracy of the Nelder-Mead simplex",0.00012970999619,0.0853837272305536,0.343843807124769,0.783421084376274,0.0720931087936133,0.0468097566927437,3.24604666126698e-05,0.00228412945152302,2.50144421441747,"seed123_n300"
8,94730.2376289292,"Successful completion",0.00334447803774801,0.856657098124764,0.995310415187809,3.51739777636638,0.00772036205991094,0.181589517999291,4.14811910566914e-05,0.00211770179824818,2.49690428803934,"seed123_n300"
9,82619.6636924665,"Successful completion",0.00192836420597929,0.847746339736365,0.999897562918755,3.13263270080627,0.0537971611330661,0.0123026413355715,3.45546561961487e-05,0.00224514582080933,2.49854056047831,"seed123_n300"
10,293427.440744112,"Successful completion",5.70204073096327e-05,0.857955003108864,0.694093044229269,36.1046471587726,0.058870034468974,0.050055005518926,3.30725864303674e-05,0.00225211861874698,2.49349180247753,"seed123_n300"
11,147938.675889005,"Successful completion",0.00997287890607651,0.998976823896435,0.337933098072132,0.0190893522444961,0.00346794330954767,0.194463722703223,4.55827266846329e-05,0.00208247923006982,2.49848279705768,"seed123_n300"
12,291928.48242309,"Successful completion",6.29476400259035e-05,0.912857809673815,0.618629069582882,1134.38100227215,0.0609498918744241,0.0487863773297103,3.2987595855772e-05,0.00225161228734499,2.49338053384648,"seed123_n300"
13,71360.5037253529,"Successful completion",0.00013347515328715,0.055236893548376,0.834675324799787,3.15241477800851,0.0680301819667267,0.0879048375315977,3.28768542456242e-05,0.00226364847674139,2.51211561288272,"seed123_n300"
