"Value","Convergence","fixed_parm_value","fixed_parm","var","SNf","estim_parm","estimates"
59976.1804701163,"Successful completion",2,"R0","2 (-20%)",0.77639811110209,"pE",0.000992136501774837
56340.7182894606,"Successful completion",2.25,"R0","2.25 (-10%)",0.736761787411695,"pE",0.000859930948451032
55008.735752261,"Successful completion",2.5,"R0","2.5",0.682612161827813,"pE",0.000788945290847561
54329.8565963373,"Successful completion",2.75,"R0","2.75 (+10%)",0.618975190052091,"pE",0.000770020875407535
54003.6548814015,"Successful completion",3,"R0","3 (+20%)",0.550238089633927,"pE",0.000714746949432793
56450.1345387262,"Successful completion",0.16,"kappa","0.16 (-20%)",0.715315235480124,"pE",0.000892906086039517
55715.7262392934,"Successful completion",0.18,"kappa","0.18 (-10%)",0.694048968019915,"pE",0.000807673142029068
55008.735752261,"Successful completion",0.2,"kappa","0.2",0.682612161827813,"pE",0.000788945290847561
54473.1240304062,"Successful completion",0.22,"kappa","0.22 (+10%)",0.672661028712675,"pE",0.000718695168493059
54027.183160329,"Successful completion",0.24,"kappa","0.24 (+20%)",0.653313810759501,"pE",0.000695729298401292
56912.2279310156,"Successful completion",0.08,"gamma","0.08 (-20%)",0.72775167853323,"pE",0.000936526814306789
55839.9715957699,"Successful completion",0.09,"gamma","0.09 (-10%)",0.70990415005109,"pE",0.000858159030457867
55008.735752261,"Successful completion",0.1,"gamma","0.1",0.682612161827813,"pE",0.000788945290847561
54363.2120382647,"Successful completion",0.11,"gamma","0.11 (+10%)",0.658983841343032,"pE",0.000705241510332751
53841.0944050432,"Successful completion",0.12,"gamma","0.12 (+20%)",0.641068964767718,"pE",0.000655339618609814
60007.639302319,"Successful completion",0.72,"SN0","0.72 (-20%)",0.621916308234562,"pE",0.000806745866401169
56336.3733154357,"Successful completion",0.81,"SN0","0.81 (-10%)",0.664499983179691,"pE",0.00075673638541737
55008.735752261,"Successful completion",0.9,"SN0","0.9",0.682612161827813,"pE",0.000788945290847561
54412.4414016458,"Successful completion",0.99,"SN0","0.99 (+10%)",0.680273505794295,"pE",0.000835350191846896
59976.1804701163,"Successful completion",2,"R0","2 (-20%)",0.77639811110209,"alpha",0.998780408074261
56340.7182894606,"Successful completion",2.25,"R0","2.25 (-10%)",0.736761787411695,"alpha",0.999777443818535
55008.735752261,"Successful completion",2.5,"R0","2.5",0.682612161827813,"alpha",0.974799379714298
54329.8565963373,"Successful completion",2.75,"R0","2.75 (+10%)",0.618975190052091,"alpha",0.998895888714279
54003.6548814015,"Successful completion",3,"R0","3 (+20%)",0.550238089633927,"alpha",0.908435819518334
56450.1345387262,"Successful completion",0.16,"kappa","0.16 (-20%)",0.715315235480124,"alpha",0.949623632415913
55715.7262392934,"Successful completion",0.18,"kappa","0.18 (-10%)",0.694048968019915,"alpha",0.827783930417232
55008.735752261,"Successful completion",0.2,"kappa","0.2",0.682612161827813,"alpha",0.974799379714298
54473.1240304062,"Successful completion",0.22,"kappa","0.22 (+10%)",0.672661028712675,"alpha",0.988267842739062
54027.183160329,"Successful completion",0.24,"kappa","0.24 (+20%)",0.653313810759501,"alpha",0.924264523879902
56912.2279310156,"Successful completion",0.08,"gamma","0.08 (-20%)",0.72775167853323,"alpha",0.848803874160232
55839.9715957699,"Successful completion",0.09,"gamma","0.09 (-10%)",0.70990415005109,"alpha",0.999872169776472
55008.735752261,"Successful completion",0.1,"gamma","0.1",0.682612161827813,"alpha",0.974799379714298
54363.2120382647,"Successful completion",0.11,"gamma","0.11 (+10%)",0.658983841343032,"alpha",0.990064905687838
53841.0944050432,"Successful completion",0.12,"gamma","0.12 (+20%)",0.641068964767718,"alpha",0.999999904037684
60007.639302319,"Successful completion",0.72,"SN0","0.72 (-20%)",0.621916308234562,"alpha",0.975093816422982
56336.3733154357,"Successful completion",0.81,"SN0","0.81 (-10%)",0.664499983179691,"alpha",0.997607156747787
55008.735752261,"Successful completion",0.9,"SN0","0.9",0.682612161827813,"alpha",0.974799379714298
54412.4414016458,"Successful completion",0.99,"SN0","0.99 (+10%)",0.680273505794295,"alpha",0.978730280372559
59976.1804701163,"Successful completion",2,"R0","2 (-20%)",0.77639811110209,"k",0.994903309331372
56340.7182894606,"Successful completion",2.25,"R0","2.25 (-10%)",0.736761787411695,"k",0.996378921874184
55008.735752261,"Successful completion",2.5,"R0","2.5",0.682612161827813,"k",0.993751751199037
54329.8565963373,"Successful completion",2.75,"R0","2.75 (+10%)",0.618975190052091,"k",0.999749623426479
54003.6548814015,"Successful completion",3,"R0","3 (+20%)",0.550238089633927,"k",0.999999996242934
