"parm","WLS"
0.1,5652716.43904383
0.2,5907450.91084053
0.3,79198.450910272
0.4,261275.524438273
0.5,275560.545702722
0.6,1312290.88229
0.7,92696.2925099285
0.8,9032.736952703
0.9,990372.237330814
1,263252.372361933
1.1,39020.9166132517
1.2,7177.96310162067
1.3,6917.95180512902
1.4,3093.75229994192
1.5,58931.7316838003
1.6,40709.5617118878
1.7,4313.5610101182
1.8,7059.965854981
1.9,2616.27846207648
2,37931.9323113436
2.1,1965.70920170085
2.2,22127.2814382632
2.3,13656.4722106472
2.4,47224.9525808094
2.5,23730.4390967491
2.6,24720.7453038909
2.7,6123.96226950859
2.8,543.577674548319
2.9,26846.2422919082
3,5203.20061862578
3.1,NA
3.2,NA
3.3,15453.5959464976
3.4,9692.72491702823
3.5,NA
3.6,2134.08849831912
3.7,13.187888112938
3.8,1.03261776155554
3.9,691.223969379539
4,2036.35783799809
4.1,4192.69815802461
4.2,7394.60740003285
4.3,11085.4270276118
4.4,15334.7155996234
4.5,20081.5722447832
4.6,25346.4859347043
4.7,NA
4.8,36792.0833939164
4.9,43935.2609636774
5,NA
5.1,55937.6343716383
5.2,63831.3172831718
5.3,67558.7369014172
5.4,76771.6761710593
5.5,83278.3894129022
5.6,88694.0339168491
5.7,98079.0339999514
5.8,102070.235446368
5.9,107791.39013306
6,115523.810605387
6.1,122127.969181415
6.2,130142.987334586
6.3,134675.020814067
6.4,140762.684278775
6.5,149448.303421051
6.6,155079.365180317
6.7,164563.586881506
6.8,169727.714707055
6.9,175142.88097399
7,187888.393837191
7.1,184979.414613634
7.2,194555.905277022
7.3,195709.845409959
7.4,199655.798062237
7.5,206249.495561991
7.6,210007.664107479
7.7,214182.305147701
7.8,223142.611104959
7.9,228536.203017496
8,233355.62573552
8.1,231164.179607686
8.2,241595.922914088
8.3,242853.333168798
8.4,250189.667662801
8.5,252528.844533609
8.6,256687.686134585
8.7,263020.529237584
8.8,264299.159145511
8.9,267056.150940879
9,272752.712049668
9.1,273881.660124943
9.2,273443.374673175
9.3,281209.157546254
9.4,284920.152307039
9.5,288480.679059086
9.6,289391.816600035
9.7,291839.403493671
9.8,NA
9.9,291359.623907481
10,298806.916207072
