"parm","WLS"
0.1,1267866.22011792
0.2,68886.2466511455
0.3,98965.2967015899
0.4,783887.806035084
0.5,1528159.88194034
0.6,694782.024903807
0.7,53025.7759547439
0.8,37674.2410271898
0.9,28854.9791375556
1,53165.6479542152
1.1,49078.5864761281
1.2,47911.4681304958
1.3,49441.0077480789
1.4,53099.8625241407
1.5,46167.9932702705
1.6,17688.4040463372
1.7,17891.904275779
1.8,45038.1548951819
1.9,51123.2149325206
2,16192.8913806672
2.1,40963.5187933247
2.2,50463.6602841056
2.3,29674.5122064256
2.4,NA
2.5,17713.3794374424
2.6,22167.2655725393
2.7,NA
2.8,48321.053722768
2.9,17233.0595185396
3,43648.7682636315
3.1,NA
3.2,16071.4808066695
3.3,28392.946808185
3.4,NA
3.5,14566.0848806417
3.6,14512.3784567204
3.7,14090.1410963966
3.8,14027.6800414028
3.9,14462.4943272548
4,15753.3279236944
4.1,NA
4.2,20924.1319331725
4.3,24290.1864928527
4.4,28576.4425181238
4.5,32920.19895415
4.6,37866.3699227705
4.7,43524.7681857582
4.8,48712.3157369702
4.9,54022.9529247968
5,60592.541249334
5.1,66510.0405565048
5.2,73945.5500976949
5.3,78505.9292219308
5.4,85303.6976996907
5.5,93851.1517703724
5.6,99238.6386271412
5.7,105811.640836295
5.8,112090.980561134
5.9,123216.207498549
6,131526.283037172
6.1,134027.41870217
6.2,139781.759012897
6.3,144699.248669793
6.4,151066.211597707
6.5,157975.659887237
6.6,167852.937006264
6.7,169044.203724997
6.8,179509.696073858
6.9,179793.055070967
7,188336.000846336
7.1,195045.42851465
7.2,198331.983967772
7.3,200628.992400793
7.4,212127.23503645
7.5,212145.584960428
7.6,216521.448260258
7.7,223113.940438926
7.8,227244.710473593
7.9,235436.445911329
8,242481.774437414
8.1,238517.995419709
8.2,246186.078786299
8.3,251562.239650399
8.4,253031.112620296
8.5,261054.681102085
8.6,259779.900843173
8.7,269278.187702089
8.8,264041.25152948
8.9,264894.057811484
9,269810.644307943
9.1,280693.977250138
9.2,289323.799051877
9.3,281684.060909568
9.4,285249.281996868
9.5,298569.585434239
9.6,294109.638833239
9.7,301745.746078891
9.8,299364.516052881
9.9,308078.255863035
10,302732.810012116
