"parm","WLS"
0.01,41583.8408960298
0.02,19102.4228300714
0.03,17041.8737997362
0.04,16747.4966552877
0.05,14919.0274026247
0.06,NA
0.07,NA
0.08,13784.680894265
0.09,13706.3777342681
0.1,14669.1931621422
0.11,NA
0.12,NA
0.13,13736.925860971
0.14,13727.0279860676
0.15,13764.7132530715
0.16,13838.5129674134
0.17,13935.2418793571
0.18,13939.8225658873
0.19,NA
0.2,14085.4084503698
0.21,14086.2222696897
0.22,14152.5879754954
0.23,14180.5676300373
0.24,14222.9059003451
0.25,NA
0.26,14324.3982466623
0.27,14401.9939209616
0.28,14384.9485373495
0.29,14397.7014464423
0.3,14797.7515743964
0.31,NA
0.32,14523.9098356251
0.33,14522.0674358934
0.34,14576.7191642157
0.35,14950.6195995364
0.36,14591.1869938699
0.37,14772.5633478592
0.38,NA
0.39,15102.9472519044
0.4,14694.1418065077
0.41,14773.4253260593
0.42,14712.5946695773
0.43,14771.9982190111
0.44,14762.0673461673
0.45,14831.3610845978
0.46,NA
0.47,14806.0447881524
0.48,NA
0.49,NA
0.5,NA
0.51,14877.9026706012
0.52,14883.3319587319
0.53,14889.5202153656
0.54,15164.9942947721
0.55,14937.5707232266
0.56,14917.3106322879
0.57,14947.0168918343
0.58,NA
0.59,14991.9399876058
0.6,15083.3273874701
0.61,14958.4748952613
0.62,14974.1193402057
0.63,14972.9306314299
0.64,15083.3505030215
0.65,15098.9686202908
0.66,15017.1059585528
0.67,15032.3685679251
0.68,15014.6042081865
0.69,NA
0.7,15201.3852525188
0.71,15073.5878703292
0.72,15045.6746182224
0.73,15138.7054366907
0.74,15056.3238991448
0.75,15068.7854527777
0.76,15068.7411651275
0.77,15131.6370719428
0.78,15088.3209936953
0.79,15233.8408548827
0.8,15093.536311841
0.81,15203.0878634366
0.82,15111.8132733542
0.83,15451.6049957053
0.84,15238.267857873
0.85,15118.3953612196
0.86,15710.2814822003
0.87,16116.1784318657
0.88,15191.3082708833
0.89,15163.0377730469
0.9,15223.6557239171
0.91,15414.5860360605
0.92,15191.8824121856
0.93,15378.2754516608
0.94,15354.4620198126
0.95,15418.7615810093
0.96,16047.4579861957
0.97,15893.063504264
0.98,15762.3534854163
0.99,15287.5801324921
1,15190.1490787891
