"parm","WLS"
0.01,85956.8772730682
0.02,55755.4059352786
0.03,NA
0.04,27275.8972579719
0.05,20589.7122581594
0.06,16717.0551791964
0.07,14708.5781485155
0.08,NA
0.09,NA
0.1,14028.4162975469
0.11,NA
0.12,16164.1119902288
0.13,17138.4767324512
0.14,17978.3176990291
0.15,19242.4892851538
0.16,20841.0049143569
0.17,20461.0936074703
0.18,21563.8449060424
0.19,22725.1709085862
0.2,24029.0888854777
0.21,24402.8546538505
0.22,25371.5100083865
0.23,NA
0.24,25930.0149642292
0.25,28059.5342954474
0.26,27481.8526303349
0.27,27550.6785947647
0.28,30354.6912281215
0.29,NA
0.3,30876.9975954491
0.31,31007.6052564009
0.32,29827.9033556728
0.33,NA
0.34,31241.0744323674
0.35,NA
0.36,33159.3280778453
0.37,34093.6348186177
0.38,NA
0.39,32861.0193282076
0.4,NA
0.41,32873.1843281918
0.42,NA
0.43,NA
0.44,35085.1751754196
0.45,NA
0.46,35677.3097314889
0.47,35372.4699383804
0.48,36403.7688985525
0.49,36275.8794255074
0.5,35712.4352788557
0.51,35597.3735187805
0.52,37565.1362855702
0.53,36186.0175942319
0.54,40584.0361305559
0.55,37909.0839945671
0.56,38567.6261021571
0.57,37231.6623282312
0.58,NA
0.59,37424.6433295042
0.6,39670.4491992481
0.61,38424.0892226255
0.62,38790.962682371
0.63,NA
0.64,39175.0764461672
0.65,38892.3328452315
0.66,39092.344967381
0.67,39447.1089908507
0.68,39613.3469290309
0.69,39224.4767472339
0.7,40854.9607163966
0.71,40328.3996804758
0.72,40223.6263970325
0.73,39661.7200593968
0.74,39610.3849138899
0.75,39297.5235438911
0.76,39263.6274055616
0.77,44412.9994247749
0.78,45822.2761557875
0.79,41539.8172437319
0.8,41688.6230929226
0.81,41191.3364503674
0.82,42062.0338285823
0.83,NA
0.84,40010.7125574609
0.85,42089.7031242433
0.86,40911.8912739935
0.87,41027.9320162388
0.88,41817.710638043
0.89,NA
0.9,40541.794404367
0.91,41401.3507619105
0.92,42833.5176407977
0.93,42363.3027368429
0.94,43535.4144077563
0.95,44681.3542646102
0.96,NA
0.97,43181.2233156418
0.98,43207.6838385662
0.99,41565.8389849838
1,42279.1000980727
